aircraftHelicopterUtility,aircraft helicopter utility
aircraftInterceptor,aircraft interceptor
aircraftPatrol,aircraft patrol
aircraftRecon,aircraft recon
aircraftTrainer,aircraft trainer
aircraftTransport,aircraft transport
anniversary,anniversary
battleHonours,battle honours
commandStructure,command structure
disbanded,disbanded
flyingHours,flying hours
fourthCommander,fourth commander
garrison,garrison
identificationSymbol,identification symbol
march,march
notableCommander,notable commander
patron,patron
secondCommander,second commander
thirdCommander,third commander
europeanAffiliation,european affiliation
europeanParliamentGroup,european parliament group
internationalAffiliation,international affiliation
nationalAffiliation,national affiliation
numberOfMembersAsOf,number of members as of
numberOfSeatsInParliament,number of seats in parliament
splitFromParty,split from party
spokesperson,spokesperson
youthWing,youth wing
chairmanTitle,chairman title
clubsRecordGoalscorer,clubs record goalscorer
dissolved,dissolved
fansgroup,fansgroup
firstGame,first game
ground,ground
largestWin,largest win
managerTitle,manager title
numberOfSoccerPlayerInCountryRepre,number of SoccerPlayers in Country Repre
numberOfSoccerPlayersInTeam,number of SoccerPlayers in entity of SoccerClub
worstDefeat,worst defeat
currentSeason,current season
numberOfTeams,number of teams
circuitLength,circuit length
circuitName,circuit name
numberOfLaps,number of laps
raceLength,race length
currentMember,current member
currentTeamMember,current team member
generalManager,general manager
manager,manager
playerInTeam,player in team
uciCode,UCI code
presidentGeneralCouncil,president general council
presidentRegionalCouncil,president regional council
achievement,achievement
activeYears,active years
activeYearsEndDateMgr,active years end date manager
activeYearsEndYearMgr,active years end year manager
activeYearsStartDateMgr,active years start date manager
activeYearsStartYearMgr,active years start year manager
activity,activity
affair,affair
agency,agency
allegiance,allegiance
almaMater,alma mater
announcedFrom,announcedFrom
approach,approach
arrestDate,arrest date
artisticFunction,artistic function
astrologicalSign,astrological sign
awardName,awardName
badGuy,bad guy
bestLap,best lap
bigPoolRecord,big pool record
birthDate,birth date
birthName,birth name
birthPlace,birth place
birthSign,birth sign
birthYear,birth year
bloodGroup,blood group
bloodType,blood type
board,board
bodyDiscovered,body discovered
britishWins,british wins
bustSize,bust size
bustWaistHipSize,bust-waist-hip Size
careerStation,career station
case,case
catch,catch
causeOfDeath,cause of death
child,child
circumcised,circumcised
citizenship,citizenship
clothSize,cloth size
clothingSize,clothing size
coalition,coalition
collaboration,collaboration
colleague,colleague
college,college
competitionTitle,competition title
complexion,complexion
contest,contest
continentalTournament,continental tournament
continentalTournamentBronze,continental tournament bronze
continentalTournamentGold,continental tournament gold
continentalTournamentSilver,continental tournament silver
convictionDate,conviction date
copilote,copilote
cousurper,cousurper
created,created
currentTeamManager,current team manager
danseCompetition,danse competition
danseScore,danse score
dateOfBurial,date of burial
deadInFightDate,dead in fight date
deadInFightPlace,dead in fight place
deathAge,death age
deathCause,death cause
deathDate,death date
deathPlace,death place
deathYear,death year
debutWork,debutWork
decoration,decoration
derivedWord,derived word
detractor,detractor
diploma,diploma
dubber,dubber
education,education
educationPlace,education place
electionDate,election date
employer,employer
endCareer,end career
endReign,end reign
escalafon,escalafon
ethnicity,ethnicity
expedition,expedition
externalOrnament,external ornament
eyeColor,eye color
eyeColour,eye colour
feat,feat
federation,federation
filmNumber,film number
foot,foot
freeDanseScore,free danse score
freeProgCompetition,free prog competition
freeProgScore,free prog score
freeScoreCompetition,free score competition
friend,friend
fullCompetition,full competition
fullScore,full score
grave,grave
gymApparatus,gym apparatus
hairColor,hair color
hairColour,hair colour
hand,hand
handedness,handedness
handisport,handisport
hasNaturalBust,has natural bust
hipSize,hip size
homage,homage
idNumber,id number
iihfHof,lihf hof
imposedDanseCompetition,imposed danse competition
imposedDanseScore,imposed danse score
individualisedPnd,individualised PND number
juniorYearsEndYear,junior years end year
juniorYearsStartYear,junior years start year
jutsu,jutsu
killedBy,killed by
lahHof,lah hof
leadership,leadership
leagueManager,league manager
linguisticsTradition,linguistics tradition
littlePoolRecord,little pool record
livingPlace,livingPlace
mainDomain,main domain
mastersWins,masters wins
matchPoint,match point
measurements,measurements
media,media
member,member
militaryService,military service
mood,mood
mount,mount
movie,movie
nationalTeamMatchPoint,national team match point
nationalTeamYear,national team year
nationalTournament,National tournament
nationalTournamentBronze,national tournament bronze
